typeID,title,type,url,image,skillsID
CSRA3356261,Chemistry,course,https://www.coursera.org/learn/chemistry-1,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~chemistry-1/XDP~COURSE!~chemistry-1.jpeg,99ed968a-ac86-4bf1-a9b9-5f92b842a4ae
CSRA6391118,How Things Work: An Introduction to Physics,course,https://www.coursera.org/learn/how-things-work,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~how-things-work/XDP~COURSE!~how-things-work.jpeg,b3851678-ef34-491c-93fc-45f52b9e644a
CSRA8583891,Excel Fundamentals for Data Analysis,course,https://www.coursera.org/learn/excel-data-analysis-fundamentals,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~excel-data-analysis-fundamentals/XDP~COURSE!~excel-data-analysis-fundamentals.jpeg,567048d3-6722-4b3c-b875-850bdc7cf8c1
CSRA6925691,Introduction to advanced tomography,course,https://www.coursera.org/learn/cinemaxe,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~cinemaxe/XDP~COURSE!~cinemaxe.jpeg,7ac203d4-2eb3-48c0-b8ec-ac8433f2cec6
CSRA5742583,Quantum Optics 1 : Single Photons,course,https://www.coursera.org/learn/quantum-optics-single-photon,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~quantum-optics-single-photon/XDP~COURSE!~quantum-optics-single-photon.jpeg,ac74afa2-899c-4387-a0dc-0c2275f77fcc
CSRA9496462,Spacecraft Dynamics Capstone: Mars Mission,course,https://www.coursera.org/learn/capstone-mars-mission,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~capstone-mars-mission/XDP~COURSE!~capstone-mars-mission.jpeg,19e0e190-c6d4-4c40-a450-3b6114e3067c
CSRA6651777,Kinematics: Describing the Motions of Spacecraft,course,https://www.coursera.org/learn/spacecraft-dynamics-kinematics,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~spacecraft-dynamics-kinematics/XDP~COURSE!~spacecraft-dynamics-kinematics.jpeg,6cc6662b-3d57-4c77-a515-a5a837531996
CSRA2146862,مقدمة لفيزياء ألعاب الفيديو باستخدام محرك ألعاب Unity,guided project,https://www.coursera.org/projects/moqadema-le-physic-al3ab-video-be-estkhdam-moharak-al3ab-unity,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~moqadema-le-physic-al3ab-video-be-estkhdam-moharak-al3ab-unity/XDP~COURSE!~moqadema-le-physic-al3ab-video-be-estkhdam-moharak-al3ab-unity.jpeg,d9286685-ffd8-4201-873e-a67db37947c4
CSRA1724344,Linearer & Nichtlineare Finite Elemente Analyse mit SimScale,guided project,https://www.coursera.org/projects/linearer-nichtlineare-finite-elemente-analyse-mit-simscale,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~linearer-nichtlineare-finite-elemente-analyse-mit-simscale/XDP~COURSE!~linearer-nichtlineare-finite-elemente-analyse-mit-simscale.jpeg,63bedde7-051c-4382-9233-69ea0639edfc
CSRA3128277,Netzkonvergenzstudien in der Finiten Elemente Methode,guided project,https://www.coursera.org/projects/netzkonvergenzstudie-finite-elemente-methode,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~netzkonvergenzstudie-finite-elemente-methode/XDP~COURSE!~netzkonvergenzstudie-finite-elemente-methode.jpeg,199ea79c-522a-4c45-b4cf-ab5592aaea05
