typeID,title,type,url,image
CSRA9413532,Google IT Automation with Python Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-automation,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-automation/XDP~SPECIALIZATION!~google-it-automation.jpeg
CSRA1949455,IBM Full Stack Software Developer Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~ibm-full-stack-cloud-developer/XDP~SPECIALIZATION!~ibm-full-stack-cloud-developer.jpeg
CSRA7199535,Key Technologies for Business Specialization,specializations,https://www.coursera.org/specializations/key-technologies-for-business,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~key-technologies-for-business/XDP~SPECIALIZATION!~key-technologies-for-business.jpeg
CSRA3397873,Preparing for Google Cloud Certification: Cloud Architect Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/gcp-cloud-architect,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~gcp-cloud-architect/XDP~SPECIALIZATION!~gcp-cloud-architect.jpeg
CSRA8936951,Preparing for Google Cloud Certification: Cloud DevOps Engineer Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~sre-devops-engineer-google-cloud/XDP~SPECIALIZATION!~sre-devops-engineer-google-cloud.jpeg
CSRA9484113,Google IT Automation with Python Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-automation,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-automation/XDP~SPECIALIZATION!~google-it-automation.jpeg
CSRA7234599,Key Technologies for Business Specialization,specializations,https://www.coursera.org/specializations/key-technologies-for-business,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~key-technologies-for-business/XDP~SPECIALIZATION!~key-technologies-for-business.jpeg
CSRA7984337,Hybrid Cloud Service Mesh with Anthos,course,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~hybrid-cloud-service-mesh-anthos/XDP~COURSE!~hybrid-cloud-service-mesh-anthos.jpeg
CSRA7927433,Big Data Analytical Platform on Alibaba Cloud,course,https://www.coursera.org/learn/alibabacloudbigdata,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~alibabacloudbigdata/XDP~COURSE!~alibabacloudbigdata.jpeg
CSRA8879829,Amazon DynamoDB: Building NoSQL Database-Driven Applications,course,https://www.coursera.org/learn/dynamodb-nosql-database-driven-apps,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~dynamodb-nosql-database-driven-apps/XDP~COURSE!~dynamodb-nosql-database-driven-apps.jpeg
