typeID,name,type,url,image
CSRA8548152,Google IT Support Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-support,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-support/XDP~SPECIALIZATION!~google-it-support.jpeg
CSRA8222926,Networking in Google Cloud: Defining and Implementing Networks,course,https://www.coursera.org/learn/networking-gcp-defining-implementing-networks,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~networking-gcp-defining-implementing-networks/XDP~COURSE!~networking-gcp-defining-implementing-networks.jpeg
CSRA6368396,Los bits y bytes de las redes informáticas,course,https://www.coursera.org/learn/redes-informaticas,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~redes-informaticas/XDP~COURSE!~redes-informaticas.jpeg
CSRA3984532,Estrutura e Funcionamento das Redes de Computadores,course,https://www.coursera.org/learn/redes-computadores,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~redes-computadores/XDP~COURSE!~redes-computadores.jpeg
CSRA2517317,Seluk Beluk Jaringan Komputer,course,https://www.coursera.org/learn/seluk-beluk-jaringan-komputer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~seluk-beluk-jaringan-komputer/XDP~COURSE!~seluk-beluk-jaringan-komputer.jpeg
CSRA2545961,Networking in Google Cloud 日本語版 Specialization,specializations,https://www.coursera.org/specializations/networking-google-cloud-platform-jp,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~networking-google-cloud-platform-jp/XDP~SPECIALIZATION!~networking-google-cloud-platform-jp.jpeg
CSRA5624241,The Bits and Bytes of Computer Networking,course,https://www.coursera.org/learn/computer-networking,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~computer-networking/XDP~COURSE!~computer-networking.jpeg
CSRA5683376,Networking in Google Cloud Specialization,specializations,https://www.coursera.org/specializations/networking-google-cloud-platform,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~networking-google-cloud-platform/XDP~SPECIALIZATION!~networking-google-cloud-platform.jpeg
CSRA8529364,AWS Cloud Technical Essentials,course,https://www.coursera.org/learn/aws-cloud-technical-essentials,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~aws-cloud-technical-essentials/XDP~COURSE!~aws-cloud-technical-essentials.jpeg
CSRA1834775,The Bits and Bytes of Computer Networking,course,https://www.coursera.org/learn/computer-networking,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~computer-networking/XDP~COURSE!~computer-networking.jpeg
